id;location;geo_name;coordinates;wikidata;street;additional_address;geo_name_alt
414;Groß Särchen;Groß Särchen;51.366666666667,14.305555555556;;;;
415;Groß Werscheditz;Verušice;50.095833333333,13.133888888889;;;(Veru$ice);
420;Groß-Rosen;Gross-Rosen concentration camp;50.998199,16.2777;;;;
416;Großenhain;Großenhain;51.283333333333,13.55;;;;
417;Großharthau;Großharthau;51.10383,14.09536;;;;
418;Großkagen;Großkagen;51.1754,13.3689;Q1549362;;;
419;Großkoschen;Großkoschen;51.495,14.05944444;;;(pr.;Brandenburg)
427;Großschirma;Großschirma;50.966388888889,13.278055555556;;;;
428;Großschönau;Großschönau;50.896388888889,14.662222222222;;;;
429;Großwerther;Großwerther;51.4686,10.7439;Q1549774;;(pr.;Sachsen)
430;Grottau;Hrádek nad Nisou;50.85285295319,14.844661931528;Q704033;;(Hrädek;nad
431;Grumbach;Grumbach;51.031388888889,13.548055555556;;;(b.;Wilsdruff)
432;Grüna;Grüna;50.8125,12.7944;;;(b.;Chemnitz)
433;Grünberg;Zielona Góra;51.939722222222,15.505;;;(Zielona;Göra)
434;Grünhain;Grünhain;50.578611111111,12.808888888889;Q1552242;;;
435;Grünhainichen;Grünhainichen;50.7675,13.153888888889;Q57776;;;
436;Gunzen;Gunzen;50.355,12.3344;Q1555079;;;
2001;Gusen;Gusen concentration camp;48.25701,14.464133;;;
437;Gutenfürst;Gutenfürst;50.419082,11.964484;;;;
440;Hadmersleben;Hadmersleben;51.991944444444,11.301111111111;Q673201;;(pr.;Sachsen)
441;Haid;Bor u Tachova;49.711710233,12.775216037;;;(Bor;u
442;Haida;Nový Bor;50.757681178047,14.555662165889;;;(Novy;Bor)
443;Hainichen;Hainichen concentration camp;50.969454,13.122099;;;;
444;Halbau;Iłowa;51.501944444444,15.205833333333;;;{Itowa);
445;Halberstadt;Halberstadt;51.895833333333,11.046666666667;;;(Land;Anhalt)
446;Halle;Halle (Saale);51.48277777777778,11.969722222222222;;;;
449;Halsbrücke;Halsbrücke;50.95,13.349722222222;;;;
450;Hartha;Harthaer Kreuz TP;51.10195,12.9493;;;(b.;Waldheim)
451;Hartha;Harthaer Kreuz TP;51.10195,12.9493;;Harthaer Kreuz;;
452;Hartmannsdorf;Hartmannsdorf bei Chemnitz;50.88666666666667,12.799444444444445;;;(b.;Chemnitz)
453;Hartmannsdorf;Miłoszów;51.00479,15.24868;;;(Miloszöw);
454;Harzungen;Harzungen concentration camp;51.5564,10.8039;;;(pr.;Sachsen)
455;Hauptmannsgrün;Hauptmannsgrün;50.627066,12.392591;Q43302018;;;
456;Hausdorf;Hausdorf (Colditz);51.11730194,12.83562088;;;(b.;Colditz)
457;Heidenau;Heidenau railway station;50.981111,13.858056;;;;
458;Heidersdorf;Heidersdorf;50.683333333333,13.4;;;(b.;Sayda)
459;Heinzebank;Heinzebank;50.680555555556,13.12;Q1601241;;;
460;Hellendorf;Hellendorf Fichtenbaude;50.8307,13.9741;;;(Fichtenbaute);
461;Hellendorf;Hellendorf;50.8307,13.9741;;;;
462;Helmbrechts;Helmbrechts;50.23677305555555,11.715915;Q494110;;;
463;Helmsdorf;Helmsdorf;51.0389,14.0375;;;;
464;Hennersdorf;Hennersdorf;50.8247,13.6253;;;;
465;Hermsdorf/Erzgebirge;Hermsdorf/Erzgeb.;50.761111111111,13.629722222222;Q6724;;;
467;Herrnsdorf;Herrnsdorf;50.895309,12.662392;;;;
475;Hertine;Rtyně nad Bílinou;50.603609611728,13.908807053015;Q2026383;;(Rtyne);
476;Herzberg am Harz;Herzberg am Harz;51.655555555556,10.339444444444;;;;
477;Herzogswalde;Herzogswalde;51.0125,13.494166666667;;;;
478;Hessisch-Lichtenau;Hessisch Lichtenau;51.2,9.7166666666667;Q558563;;(pr.;Ilessen-Nassau)
479;Hilbersdorf;Hilbersdorf;50.909444444444,13.398333333333;;;;
480;Hinsdorf;Hinsdorf;51.716666666667,12.15;Q699049;;(pr.;Sachsen)
481;Hinterhermsdorf;Hinterhermsdorf;50.923611111111,14.358333333333;Q160022;;;
482;Hirschberg;Jelenia Góra;50.9,15.733333333333;;;(Jelenia;Göra)
870;Hirschberg;Jelenia Góra;50.9,15.733333333333;;;(Jelenia;Göra)}
483;Hirschenstand;Jelení;50.39638889,12.66888889;;;(Jeleni);
484;Höckendorf;Höckendorf;50.92518,13.58913;;;;
485;Hof;Hof;51.2402,13.1891;;;(b.;Stauchitz)
486;Hof;Hof;50.31666666666667,11.916666666666666;;;(Bayern);
488;Hohenprießnitz;Hohenprießnitz;51.532669444444,12.597197222222;Q1623768;;;
489;Hohenstein-Ernstthal;Hohenstein-Ernstthal;50.8,12.716666666667;;;;
490;Hohentanne;Hohentanne;50.985836,13.311043;;;;
491;Hohndorf;Hohndorf;50.746111111111,12.669166666667;;;;
2006;Horneburg;Horneburg;53.5095,9.5769;;;;
492;Hradiste&;Hradiště Military Area;50.174957762615,13.04660944655;;;(heute;Truppenübungsplatz)
493;Hühndorf;Hühndorf;51.0694,13.5708;Q1246074;;;
496;Irfersgrün;Irfersgrün;50.61237,12.427177;Q26271290;;;
497;Irrenlohe;Irrenlohe station;49.3627,12.1056;;;;
500;Jena;Jena;50.927222222222,11.586388888889;;;(Thüringen);
501;Jessen;Jessen (Elster);51.791666666667,12.955555555556;;;(pr.;Sachsen)
502;Johanngeorgenstadt;Johanngeorgenstadt;50.433333333333,12.713888888889;;;;
505;Jößnitz;Jößnitz;50.5458,12.1378;Q1715670;;;
508;Kaaden;Kadaň;50.37608553522,13.271397346217;Q158274;;(Kadan);
509;Kamenz;Kamenz;51.266666666667,14.1;;;;
512;Karlsbad;Karlovy Vary;50.230555555556,12.8725;;;(Karlovy;Vary)
